Province code,,Province name,,General Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female
20,,  Denizli,,849 488,419 724,429 764,9 663,1 248,8 415,26 675,4 626,22 049,187 383,76 922,110 461,77 547,41 613,35 934,147 726,82 931,64 795,224 776,123 298,101 478,153 345,77 391,75 954,15 916,8 337,7 579,2 713,1 544,1 169,3 744,1 814,1 930
21,,  Diyarbakır,,1 253 198,629 684,623 514,78 064,10 896,67 168,97 285,22 798,74 487,146 679,66 691,79 988,85 266,52 863,32 403,322 782,174 061,148 721,313 245,186 190,127 055,182 784,99 449,83 335,22 562,14 276,8 286,2 339,1 650,689,2 192,810,1 382
22,,  Edirne,,352 219,176 028,176 191,6 620,1 318,5 302,9 453,2 785,6 668,88 724,37 120,51 604,26 058,14 103,11 955,53 253,29 937,23 316,96 072,53 550,42 522,61 312,31 763,29 549,7 456,3 822,3 634,1 774,955,819,1 497,675,822
23,,  Elazığ,,475 751,232 653,243 098,16 279,2 529,13 750,28 541,4 311,24 230,71 021,24 294,46 727,33 596,18 474,15 122,91 517,48 366,43 151,133 705,78 565,55 140,85 103,46 786,38 317,11 549,6 696,4 853,2 296,1 520,776,2 144,1 112,1 032
24,,  Erzincan,,196 246,99 746,96 500,7 529,978,6 551,6 623,1 435,5 188,34 538,13 983,20 555,13 119,7 082,6 037,30 934,17 129,13 805,58 948,33 180,25 768,37 893,22 060,15 833,4 132,2 484,1 648,891,590,301,1 639,825,814
25,,  Erzurum,,568 264,279 276,288 988,27 623,3 451,24 172,24 494,5 795,18 699,103 280,36 628,66 652,36 032,19 790,16 242,110 508,60 281,50 227,155 333,91 788,63 545,92 953,51 678,41 275,12 727,7 126,5 601,3 187,2 029,1 158,2 127,710,1 417
26,,  Eskişehir,,741 306,364 700,376 606,10 135,1 203,8 932,11 296,2 155,9 141,135 995,45 198,90 797,46 497,23 091,23 406,110 087,59 109,50 978,230 875,132 758,98 117,164 966,85 282,79 684,21 062,10 651,10 411,5 132,2 753,2 379,5 261,2 500,2 761
27,,  Gaziantep,,1 501 986,753 024,748 962,46 493,4 284,42 209,54 690,13 102,41 588,257 670,93 756,163 914,157 338,96 730,60 608,374 266,206 945,167 321,354 001,202 401,151 600,219 147,114 609,104 538,26 188,15 027,11 161,3 041,1 891,1 150,9 152,4 279,4 873
28,,  Giresun,,386 290,191 650,194 640,15 561,1 992,13 569,25 138,4 512,20 626,81 889,37 843,44 046,30 088,16 787,13 301,60 334,34 047,26 287,98 962,57 216,41 746,64 643,34 087,30 556,6 115,3 293,2 822,1 168,717,451,2 392,1 156,1 236
29,,  Gümüşhane,,122 067,60 810,61 257,3 960,459,3 501,6 144,1 653,4 491,24 044,9 637,14 407,9 681,4 820,4 861,18 084,10 185,7 899,36 530,20 818,15 712,19 581,10 961,8 620,2 081,1 242,839,458,312,146,1 504,723,781
30,,  Hakkari,,211 492,115 217,96 275,8 752,1 867,6 885,9 729,3 298,6 431,15 222,7 596,7 626,9 827,5 049,4 778,54 230,26 106,28 124,77 149,47 763,29 386,32 278,20 850,11 428,2 520,1 813,707,196,130,66,1 589,745,844
31,,  Hatay,,1 144 268,576 671,567 597,22 360,4 048,18 312,59 953,11 664,48 289,239 252,106 109,133 143,98 432,55 652,42 780,245 340,133 835,111 505,268 447,152 884,115 563,177 558,94 196,83 362,17 615,10 251,7 364,1 791,1 104,687,13 520,6 928,6 592
32,,  Isparta,,364 707,179 017,185 690,7 184,868,6 316,8 640,1 683,6 957,76 066,28 630,47 436,24 318,12 441,11 877,55 051,30 199,24 852,107 906,58 760,49 146,71 669,38 813,32 856,9 287,5 026,4 261,2 570,1 638,932,2 016,959,1 057
33,,  Mersin,,1 474 983,728 876,746 107,27 211,3 912,23 299,61 439,13 427,48 012,287 121,115 175,171 946,110 609,63 894,46 715,282 863,154 835,128 028,391 753,216 167,175 586,275 248,141 097,134 151,28 097,15 093,13 004,3 575,2 005,1 570,7 067,3 271,3 796
34,,  İstanbul,,12 003 048,5 953 944,6 049 104,198 638,23 571,175 067,250 075,59 550,190 525,1 817 575,702 944,1 114 631,829 453,474 125,355 328,2 107 328,1 162 131,945 197,3 433 622,1 877 149,1 556 473,2 783 676,1 362 018,1 421 658,410 325,206 127,204 198,62 882,34 415,28 467,109 474,51 914,57 560
35,,  İzmir,,3 666 628,1 807 313,1 859 315,42 096,6 271,35 825,98 098,20 703,77 395,676 670,267 934,408 736,246 390,143 151,103 239,614 333,337 738,276 595,1 033 320,559 327,473 993,822 304,407 155,415 149,99 784,48 431,51 353,18 663,9 754,8 909,14 970,6 849,8 121
36,,  Kars,,209 790,108 651,101 139,11 468,1 437,10 031,8 673,2 532,6 141,38 074,16 474,21 600,16 750,10 161,6 589,47 089,27 217,19 872,51 606,31 187,20 419,30 884,16 973,13 911,3 327,1 841,1 486,771,473,298,1 148,356,792
37,,  Kastamonu,,327 886,160 500,167 386,13 663,1 891,11 772,16 348,3 472,12 876,90 192,38 189,52 003,27 943,15 325,12 618,49 557,28 506,21 051,76 698,44 525,32 173,46 758,24 913,21 845,5 023,2 747,2 276,977,586,391,727,346,381
38,,  Kayseri,,1 113 735,552 146,561 589,23 419,2 300,21 119,30 104,5 018,25 086,206 006,73 373,132 633,85 859,49 960,35 899,214 437,118 161,96 276,312 835,176 764,136 071,205 397,107 779,97 618,23 789,12 622,11 167,3 822,2 335,1 487,8 067,3 834,4 233
39,,  Kırklareli,,316 518,159 543,156 975,4 182,742,3 440,5 709,1 619,4 090,73 295,29 602,43 693,27 420,14 457,12 963,49 157,27 143,22 014,91 593,52 070,39 523,57 652,29 988,27 664,5 546,2 905,2 641,840,495,345,1 124,522,602
